Timestamp,Creator ID,Page,Result Number,Title,Aspect Ratio
1717114272,211064264,1,1,"Abstract podium for organic cosmetic products. Natural style, Marble podium with green moss on natural background, Copy space, generative ai",3:2
1717114272,211064264,1,2,"Asian beautiful woman in the field and admires the sunset, generative ai",16:9
1717114272,211064264,1,3,"Palm leaf shadows on green wall, Background for product advertisement, Summer tropical travel beach with minimal concept, Banner with copy space, generative ai",16:9
1717114272,211064264,1,4,"Abstract blue digital data background. Network connection structure. Structural connection of information. Data transfer in network connection. Data technology. Digital background, generative ai",16:9
1717114272,211064264,1,5,"Happy excited young woman with laptop at home sitting on a couch, received good news, got promotion, finished project, generative ai",16:9
1717114272,211064264,1,6,"Close up legs of mother walk in fall park with little child boy with dry yellow autumn leaves. Mother, small kid son feet on steps. Family day 15 of may love parents, children concept, generative ai",16:9
1717114272,211064264,1,7,"Close up beautiful cat sitting on the sofa at home with sunlight shining through the window, generative ai",16:9
1717114272,211064264,1,8,"Happy smiling relaxed young woman sitting on couch using mobile smartphone, looking at cellphone enjoying doing online ecommerce shopping in mobile apps or watching videos, generative ai",16:9
1717114272,211064264,1,9,"Group of American Football Fans Watching a Live Match Broadcast in a Sports Pub on TV, People Cheering, Supporting Their Team, generative ai",16:9
1717114272,211064264,1,10,"Cream podium for product display with clouds, smoke, fog, steam background, Beauty cosmetic product placement pedestal present stand minimal display, summer paradise dreamy concept generative ai",3:2
1717114272,211064264,1,11,"Happy excited young african american woman with laptop at home sitting on a couch, received good news, got promotion, finished project, generative ai",16:9
1717114272,211064264,1,12,"Cheerful young woman sitting on back seat of car while travelling. Young fun girl enjoying road trip. Traveling in car, generative ai",16:9
1717114272,211064264,1,13,"A colorful dark blue and green wooden board painted abstractly, Texture of a green and blue wooden planks, rustic style, generative ai",16:9
1717114272,211064264,1,14,"Happy cute dog wearing a party hat celebrating at a birthday party, surrounding by falling confetti, generative a",16:9
1717114272,211064264,1,15,"Tropical leaves Monstera and palm tree leaf. Flat lay, top view, generative ai",16:9
1717114272,211064264,1,16,"Smoker hand holding a smoking cigarette next to lungs full of smoke representing the danger of smoking for health, lung cancer and illness concept, World no tobacco day, generative ai",16:9
1717114272,211064264,1,17,"Location pin icon on earth city urban map indicating the location and direction, Yellow geopin. Geolocation map mark. Pin location pointer, Navigation icon, generative ai",16:9
1717114272,211064264,1,18,"Summer travel vacation concept, Happy traveler woman with hat relax in hammock on beach, generative ai",16:9
1717114272,211064264,1,19,"Businesswoman holding Light bulbs with Brain inside. Creative and innovation inspiration. Business Bright idea concept, generative ai",16:9
1717114272,211064264,1,20,"A dark empty street, dark blue background, an empty dark scene, neon light, spotlights The asphalt floor and studio room with smoke float up the interior texture. night view, generative ai",16:9
1717114272,211064264,1,21,"Piggy moneybox with falling gold coins on cream background. Concept of savings and accumulation, Pig money box with golden coins, generative ai",16:9
1717114272,211064264,1,22,"coffee beans on red background, generative ai",16:9
1717114272,211064264,1,23,"abstract grungy blue stucco wall background, generative ai",16:9
1717114272,211064264,1,24,"Rear view of university graduates wearing graduation gown and cap in the commencement day, Concept education congratulation. Graduation Ceremony, generative ai",16:9
1717114272,211064264,1,25,"Empty paper card mockup on a Green leaves, copy space, generative ai",16:9
1717114272,211064264,1,26,"Rear view of university graduates wearing graduation gown and cap in the commencement day, Concept education congratulation. Graduation Ceremony, generative ai",16:9
1717114272,211064264,1,27,Clean energy concept on World Environment Day or International Day of Forests concept tree and earth globe with solar cell panel with windmill on nature background. generative ai,16:9
1717114272,211064264,1,28,"White crumpled paper texture background, generative ai",16:9
1717114272,211064264,1,29,"Women carrying wooden box of salad vegetables produce in hydroponics greenhouse, generative ai",16:9
1717114272,211064264,1,30,"Wooden podium for natural products in mountains nature. A stage for cosmetics product presentation in natural green environment, copy space, generative ai",16:9
1717114272,211064264,1,31,"Customer satisfaction service concept, Hand holding wooden block with a smiley face icon to rate satisfaction, Satisfaction experience rating and service reviews, generative ai",16:9
1717114272,211064264,1,32,"Big Data concept. Digital neural network, Businesswoman hand touching Introduction of artificial intelligence, Cyberspace of future, Science and innovation of technology, generative ai",16:9
1717114272,211064264,1,33,"Podium for Cosmetic on pink background, Soap, Items Presentation. Abstract Minimal Geometric Sphere, Soft Shadow, Scene to Show Product, Object, generative ai",3:2
1717114272,211064264,1,34,"Palm leaf shadows on pink wall, Background for product advertisement, Summer tropical travel beach with minimal concept, Banner with copy space, generative ai",16:9
1717114272,211064264,1,35,"Blank podium stand with neon lights on dark background, generative ai",3:2
1717114272,211064264,1,36,"Natural brown wooden background, Wood texture surface with old natural pattern, generative ai",16:9
